,gene_name,accuracy
0,CCND1,1.0
1,CCND2,1.0
2,CCND3,1.0
3,CCNE1,1.0
4,CDK4,1.0
5,CDK6,1.0
6,E2F1,0.9987937273823885
7,E2F3,1.0
8,YAP1,1.0
9,MYC,1.0
10,MYCN,1.0
11,ARRDC1,0.9987937273823885
12,KDM5A,1.0
13,NFE2L2,1.0
14,AKT1,1.0
15,AKT2,1.0
16,PIK3CA,1.0
17,PIK3CB,1.0
18,PIK3R2,1.0
19,RHEB,1.0
20,RICTOR,1.0
21,RPTOR,1.0
22,EGFR,1.0
23,ERBB2,1.0
24,ERBB3,0.9987937273823885
25,PDGFRA,1.0
26,MET,1.0
27,FGFR1,1.0
28,FGFR2,1.0
29,FGFR3,1.0
30,FGFR4,1.0
31,KIT,0.9987937273823885
32,IGF1R,1.0
33,KRAS,1.0
34,HRAS,1.0
35,BRAF,1.0
36,RAF1,1.0
37,RAC1,1.0
38,MAPK1,0.9987937273823885
39,JAK2,1.0
40,MDM2,1.0
41,MDM4,1.0
42,CDKN1A,0.9987937273823885
43,CDKN1B,1.0
44,CDKN2A,1.0
45,CDKN2B,1.0
46,CDKN2C,1.0
47,RB1,1.0
48,SAV1,1.0
49,LATS1,1.0
50,LATS2,1.0
51,PTPN14,1.0
52,NF2,1.0
53,FAT1,0.9987937273823885
54,MGA,1.0
55,CNTN6,1.0
56,CREBBP,1.0
57,EP300,1.0
58,HES2,0.9987937273823885
59,HES3,0.9987937273823885
60,HES4,1.0
61,HES5,1.0
62,HEY1,1.0
63,KAT2B,1.0
64,NOTCH1,1.0
65,NOTCH2,1.0
66,NOTCH3,1.0
67,NOTCH4,1.0
68,NOV,1.0
69,PSEN2,1.0
70,FBXW7,1.0
71,NCOR1,1.0
72,NCOR2,1.0
73,KEAP1,1.0
74,CUL3,1.0
75,INPP4B,1.0
76,PIK3R1,1.0
77,PTEN,1.0
78,STK11,1.0
79,TSC1,1.0
80,TSC2,1.0
81,TGFBR1,1.0
82,TGFBR2,1.0
83,ACVR2A,1.0
84,SMAD2,0.9987937273823885
85,SMAD3,1.0
86,SMAD4,1.0
87,NF1,1.0
88,RASA1,1.0
89,CBL,1.0
90,ERRFI1,1.0
91,TP53,1.0
92,ATM,1.0
93,SFRP1,0.9963811821471653
94,ZNRF3,1.0
95,AMER1,1.0
96,APC,1.0
97,AXIN1,1.0
98,DKK1,1.0
99,DKK4,1.0
100,RNF43,1.0
101,TCF7L2,1.0
102,ABL1,1.0
103,ACVR1B,1.0
104,AKT3,1.0
105,ALK,1.0
106,ARAF,1.0
107,AXIN2,1.0
108,CDK2,1.0
109,CHEK2,1.0
110,CRB1,1.0
111,CRB2,1.0
112,CSNK1D,1.0
113,CSNK1E,1.0
114,CTNNB1,1.0
115,CUL1,1.0
116,DCHS1,0.9987937273823885
117,DCHS2,1.0
118,DKK2,1.0
119,DKK3,1.0
120,DNER,1.0
121,ERBB4,1.0
122,ERF,1.0
123,FAT2,1.0
124,FAT3,1.0
125,FAT4,1.0
126,FLT3,1.0
127,GRB2,1.0
128,GSK3B,1.0
129,HDAC1,1.0
130,HES1,1.0
131,HEY2,1.0
132,HEYL,1.0
133,JAG2,1.0
134,MAML3,1.0
135,MAP2K1,0.9987937273823885
136,MAP2K2,1.0
137,MAX,1.0
138,MLST8,0.9987937273823885
139,MLX,0.9987937273823885
140,MNT,0.9987937273823885
141,MOB1A,1.0
142,MOB1B,1.0
143,MTOR,1.0
144,MXI1,1.0
145,NPRL2,1.0
146,NPRL3,1.0
147,NRAS,1.0
148,NTRK1,0.9987937273823885
149,NTRK3,1.0
150,PIK3R3,0.9987937273823885
151,PLXNB1,1.0
152,PPP2R1A,1.0
153,PTPN11,1.0
154,RET,1.0
155,RIT1,1.0
156,ROS1,1.0
157,RPS6KA3,1.0
158,RPS6KB1,1.0
159,SFRP2,1.0
160,SFRP4,0.9987937273823885
161,SFRP5,1.0
162,SOS1,1.0
163,SOST,1.0
164,SPEN,0.9987937273823885
165,SPRED1,1.0
166,STK3,1.0
167,STK4,1.0
168,TAOK1,1.0
169,TAOK2,1.0
170,TAOK3,1.0
171,TCF7,1.0
172,TCF7L1,1.0
173,TEAD2,1.0
174,THBS2,1.0
175,TLE1,1.0
176,TLE2,1.0
177,TLE3,1.0
178,TLE4,1.0
179,WIF1,1.0
180,WWC1,0.9987937273823885
181,CRB3,1.0
182,LRP5,1.0
183,NTRK2,1.0
184,PDGFRB,1.0
185,TEAD3,1.0
186,WWTR1,1.0
